Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Meat","2020","kg/cap","42.36"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Meat","2020","kcal/cap/d","197"
"Food Balances (2010-)","World","Food supply (kcal)","Meat","2020","Kcal","561637265.09"
"Food Balances (2010-)","World","Production","Meat","2021","1000 t","354603"
"Food Balances (2010-)","World","Import quantity","Meat","2021","1000 t","53756"
"Food Balances (2010-)","World","Stock Variation","Meat","2021","1000 t","7702"
"Food Balances (2010-)","World","Export quantity","Meat","2021","1000 t","55302"
"Food Balances (2010-)","World","Feed","Meat","2021","1000 t","54"
"Food Balances (2010-)","World","Losses","Meat","2021","1000 t","1701"
"Food Balances (2010-)","World","Processing","Meat","2021","1000 t","1161"
"Food Balances (2010-)","World","Other uses (non-food)","Meat","2021","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Meat","2021","1000 t","5"
"Food Balances (2010-)","World","Residuals","Meat","2021","1000 t","-695"
"Food Balances (2010-)","World","Food","Meat","2021","1000 t","343130"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Meat","2021","kg/cap","43.54"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Meat","2021","kcal/cap/d","204"
"Food Balances (2010-)","World","Food supply (kcal)","Meat","2021","Kcal","587413363.46"
"Food Balances (2010-)","World","Production","Meat","2022","1000 t","360800"
"Food Balances (2010-)","World","Import quantity","Meat","2022","1000 t","53054"
"Food Balances (2010-)","World","Stock Variation","Meat","2022","1000 t","2029"
"Food Balances (2010-)","World","Export quantity","Meat","2022","1000 t","55217"
"Food Balances (2010-)","World","Feed","Meat","2022","1000 t","48"
"Food Balances (2010-)","World","Losses","Meat","2022","1000 t","1749"
"Food Balances (2010-)","World","Processing","Meat","2022","1000 t","1238"
"Food Balances (2010-)","World","Other uses (non-food)","Meat","2022","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Meat","2022","1000 t","501"
"Food Balances (2010-)","World","Residuals","Meat","2022","1000 t","-858"
"Food Balances (2010-)","World","Food","Meat","2022","1000 t","353929"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Meat","2022","kg/cap","44.54"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Meat","2022","kcal/cap/d","210"
"Food Balances (2010-)","World","Food supply (kcal)","Meat","2022","Kcal","610368312.89"
"Food Balances (2010-)","World","Production","Offals","2010","1000 t","19063"
"Food Balances (2010-)","World","Import quantity","Offals","2010","1000 t","3759"
"Food Balances (2010-)","World","Stock Variation","Offals","2010","1000 t","21"
"Food Balances (2010-)","World","Export quantity","Offals","2010","1000 t","4279"
"Food Balances (2010-)","World","Feed","Offals","2010","1000 t","1009"
"Food Balances (2010-)","World","Losses","Offals","2010","1000 t","1146"
"Food Balances (2010-)","World","Processing","Offals","2010","1000 t","349"
"Food Balances (2010-)","World","Other uses (non-food)","Offals","2010","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Offals","2010","1000 t","64"
"Food Balances (2010-)","World","Residuals","Offals","2010","1000 t","900"
"Food Balances (2010-)","World","Food","Offals","2010","1000 t","15055"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Offals","2010","kg/cap","2.18"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Offals","2010","kcal/cap/d","8"
"Food Balances (2010-)","World","Food supply (kcal)","Offals","2010","Kcal","20025522.17"
"Food Balances (2010-)","World","Production","Offals","2011","1000 t","19157"
"Food Balances (2010-)","World","Import quantity","Offals","2011","1000 t","3887"
"Food Balances (2010-)","World","Stock Variation","Offals","2011","1000 t","1"
"Food Balances (2010-)","World","Export quantity","Offals","2011","1000 t","4458"
"Food Balances (2010-)","World","Feed","Offals","2011","1000 t","1024"
"Food Balances (2010-)","World","Losses","Offals","2011","1000 t","1142"
"Food Balances (2010-)","World","Processing","Offals","2011","1000 t","338"
"Food Balances (2010-)","World","Other uses (non-food)","Offals","2011","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Offals","2011","1000 t","147"
"Food Balances (2010-)","World","Residuals","Offals","2011","1000 t","872"
"Food Balances (2010-)","World","Food","Offals","2011","1000 t","15062"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Offals","2011","kg/cap","2.15"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Offals","2011","kcal/cap/d","8"
"Food Balances (2010-)","World","Food supply (kcal)","Offals","2011","Kcal","20064129.24"
"Food Balances (2010-)","World","Production","Offals","2012","1000 t","19494"
"Food Balances (2010-)","World","Import quantity","Offals","2012","1000 t","3784"
"Food Balances (2010-)","World","Stock Variation","Offals","2012","1000 t","-8"
"Food Balances (2010-)","World","Export quantity","Offals","2012","1000 t","4442"
"Food Balances (2010-)","World","Feed","Offals","2012","1000 t","983"
"Food Balances (2010-)","World","Losses","Offals","2012","1000 t","1192"
"Food Balances (2010-)","World","Processing","Offals","2012","1000 t","355"
"Food Balances (2010-)","World","Other uses (non-food)","Offals","2012","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Offals","2012","1000 t","92"
"Food Balances (2010-)","World","Residuals","Offals","2012","1000 t","875"
"Food Balances (2010-)","World","Food","Offals","2012","1000 t","15346"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Offals","2012","kg/cap","2.15"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Offals","2012","kcal/cap/d","8"
"Food Balances (2010-)","World","Food supply (kcal)","Offals","2012","Kcal","20405792.77"
"Food Balances (2010-)","World","Production","Offals","2013","1000 t","19917"
"Food Balances (2010-)","World","Import quantity","Offals","2013","1000 t","3902"
"Food Balances (2010-)","World","Stock Variation","Offals","2013","1000 t","-15"
"Food Balances (2010-)","World","Export quantity","Offals","2013","1000 t","4630"
"Food Balances (2010-)","World","Feed","Offals","2013","1000 t","990"
"Food Balances (2010-)","World","Losses","Offals","2013","1000 t","1227"
"Food Balances (2010-)","World","Processing","Offals","2013","1000 t","357"
"Food Balances (2010-)","World","Other uses (non-food)","Offals","2013","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Offals","2013","1000 t","90"
"Food Balances (2010-)","World","Residuals","Offals","2013","1000 t","902"
"Food Balances (2010-)","World","Food","Offals","2013","1000 t","15638"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Offals","2013","kg/cap","2.17"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Offals","2013","kcal/cap/d","8"
"Food Balances (2010-)","World","Food supply (kcal)","Offals","2013","Kcal","20782836.33"
"Food Balances (2010-)","World","Production","Offals","2014","1000 t","20608"
"Food Balances (2010-)","World","Import quantity","Offals","2014","1000 t","4281"
"Food Balances (2010-)","World","Stock Variation","Offals","2014","1000 t","0"
"Food Balances (2010-)","World","Export quantity","Offals","2014","1000 t","5230"
"Food Balances (2010-)","World","Feed","Offals","2014","1000 t","858"
"Food Balances (2010-)","World","Losses","Offals","2014","1000 t","1495"
"Food Balances (2010-)","World","Processing","Offals","2014","1000 t","363"
"Food Balances (2010-)","World","Other uses (non-food)","Offals","2014","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Offals","2014","1000 t","152"
"Food Balances (2010-)","World","Residuals","Offals","2014","1000 t","520"
"Food Balances (2010-)","World","Food","Offals","2014","1000 t","16271"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Offals","2014","kg/cap","2.23"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Offals","2014","kcal/cap/d","8"
"Food Balances (2010-)","World","Food supply (kcal)","Offals","2014","Kcal","21597146.82"
"Food Balances (2010-)","World","Production","Offals","2015","1000 t","20870"
"Food Balances (2010-)","World","Import quantity","Offals","2015","1000 t","4108"
"Food Balances (2010-)","World","Stock Variation","Offals","2015","1000 t","0"
"Food Balances (2010-)","World","Export quantity","Offals","2015","1000 t","5110"
"Food Balances (2010-)","World","Feed","Offals","2015","1000 t","898"
"Food Balances (2010-)","World","Losses","Offals","2015","1000 t","1513"
"Food Balances (2010-)","World","Processing","Offals","2015","1000 t","351"
"Food Balances (2010-)","World","Other uses (non-food)","Offals","2015","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Offals","2015","1000 t","138"
"Food Balances (2010-)","World","Residuals","Offals","2015","1000 t","550"
"Food Balances (2010-)","World","Food","Offals","2015","1000 t","16418"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Offals","2015","kg/cap","2.22"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Offals","2015","kcal/cap/d","8"
"Food Balances (2010-)","World","Food supply (kcal)","Offals","2015","Kcal","21781584.63"
"Food Balances (2010-)","World","Production","Offals","2016","1000 t","21108"
"Food Balances (2010-)","World","Import quantity","Offals","2016","1000 t","4747"
"Food Balances (2010-)","World","Stock Variation","Offals","2016","1000 t","0"
"Food Balances (2010-)","World","Export quantity","Offals","2016","1000 t","5746"
"Food Balances (2010-)","World","Feed","Offals","2016","1000 t","788"
"Food Balances (2010-)","World","Losses","Offals","2016","1000 t","1530"
"Food Balances (2010-)","World","Processing","Offals","2016","1000 t","342"
"Food Balances (2010-)","World","Other uses (non-food)","Offals","2016","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Offals","2016","1000 t","106"
"Food Balances (2010-)","World","Residuals","Offals","2016","1000 t","353"
"Food Balances (2010-)","World","Food","Offals","2016","1000 t","16990"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Offals","2016","kg/cap","2.27"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Offals","2016","kcal/cap/d","8"
"Food Balances (2010-)","World","Food supply (kcal)","Offals","2016","Kcal","22619075.14"
"Food Balances (2010-)","World","Production","Offals","2017","1000 t","21051"
"Food Balances (2010-)","World","Import quantity","Offals","2017","1000 t","5102"
"Food Balances (2010-)","World","Stock Variation","Offals","2017","1000 t","0"
"Food Balances (2010-)","World","Export quantity","Offals","2017","1000 t","5934"
"Food Balances (2010-)","World","Feed","Offals","2017","1000 t","838"
"Food Balances (2010-)","World","Losses","Offals","2017","1000 t","1527"
"Food Balances (2010-)","World","Processing","Offals","2017","1000 t","352"
"Food Balances (2010-)","World","Other uses (non-food)","Offals","2017","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Offals","2017","1000 t","132"
"Food Balances (2010-)","World","Residuals","Offals","2017","1000 t","392"
"Food Balances (2010-)","World","Food","Offals","2017","1000 t","16977"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Offals","2017","kg/cap","2.25"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Offals","2017","kcal/cap/d","8"
"Food Balances (2010-)","World","Food supply (kcal)","Offals","2017","Kcal","22579479.02"
"Food Balances (2010-)","World","Production","Offals","2018","1000 t","21438"
"Food Balances (2010-)","World","Import quantity","Offals","2018","1000 t","5011"
"Food Balances (2010-)","World","Stock Variation","Offals","2018","1000 t","0"
"Food Balances (2010-)","World","Export quantity","Offals","2018","1000 t","5712"
"Food Balances (2010-)","World","Feed","Offals","2018","1000 t","938"
"Food Balances (2010-)","World","Losses","Offals","2018","1000 t","1442"
